prompt,checkpoint,dim,cosine,max_abs_err,mean_abs_err,rmse,l2_rel_err,first_divergence,status
TEST-A,ckpt17_block_03_ffn_gate,6912,0.99814361,0.118675,0.021949,0.027625,0.060926,YES,PASS
TEST-A,ckpt17_block_04_ffn_gate,6912,0.99767902,0.122917,0.024668,0.030985,0.068139,YES,PASS
TEST-A,ckpt17_block_05_ffn_gate,6912,0.99775258,0.111342,0.024018,0.030186,0.067035,YES,PASS
TEST-A,ckpt17_block_12_ffn_gate,6912,0.99664803,0.134064,0.029536,0.036940,0.081863,YES,PASS
TEST-A,ckpt17_block_23_ffn_gate,6912,0.99728778,0.135158,0.026147,0.032776,0.073657,YES,PASS
TEST-A,ckpt18_block_00_ffn_up,6912,0.99920311,0.070379,0.014282,0.017904,0.039918,YES,PASS
TEST-A,ckpt18_block_01_ffn_up,6912,0.99851216,0.101474,0.019428,0.024407,0.054547,YES,PASS
TEST-A,ckpt18_block_02_ffn_up,6912,0.99859697,0.090230,0.019257,0.024131,0.052982,YES,PASS
TEST-A,ckpt18_block_03_ffn_up,6912,0.99810505,0.121118,0.021997,0.027562,0.061572,YES,PASS
TEST-A,ckpt18_block_04_ffn_up,6912,0.99759741,0.146665,0.025232,0.031613,0.069304,YES,PASS
TEST-A,ckpt18_block_05_ffn_up,6912,0.99775734,0.131019,0.023962,0.030039,0.066953,YES,PASS
TEST-A,ckpt18_block_12_ffn_up,6912,0.99677369,0.141537,0.029315,0.036684,0.080285,YES,PASS
TEST-A,ckpt18_block_23_ffn_up,6912,0.99706337,0.122630,0.026754,0.033396,0.076657,YES,PASS
TEST-A,ckpt19_block_00_ffn_activation,6912,0.99907221,0.084613,0.004053,0.006454,0.043085,YES,PASS
TEST-A,ckpt19_block_01_ffn_activation,6912,0.99852221,0.118466,0.005631,0.008998,0.054407,YES,PASS
TEST-A,ckpt19_block_02_ffn_activation,6912,0.99860211,0.154722,0.005449,0.008650,0.052932,YES,PASS
TEST-A,ckpt19_block_03_ffn_activation,6912,0.99831083,0.119335,0.006186,0.009808,0.058120,YES,PASS
TEST-A,ckpt19_block_04_ffn_activation,6912,0.99766345,0.115460,0.007108,0.011310,0.068471,YES,PASS
TEST-A,ckpt19_block_05_ffn_activation,6912,0.99767586,0.201713,0.006887,0.011338,0.068141,YES,PASS
TEST-A,ckpt19_block_12_ffn_activation,6912,0.99595890,0.148335,0.008372,0.013005,0.089848,YES,PASS
TEST-A,ckpt19_block_23_ffn_activation,6912,0.99428046,0.117938,0.006830,0.010240,0.106906,YES,PASS
TEST-A,ckpt20_block_00_ffn_down,2560,0.99896003,0.013491,0.003326,0.004162,0.045605,YES,PASS
TEST-A,ckpt20_block_01_ffn_down,2560,0.99882972,0.016303,0.003992,0.005033,0.048375,YES,PASS
TEST-A,ckpt20_block_02_ffn_down,2560,0.99885781,0.017018,0.003805,0.004822,0.047910,YES,PASS
TEST-A,ckpt20_block_03_ffn_down,2560,0.99822883,0.020281,0.004828,0.006096,0.059518,YES,PASS
TEST-A,ckpt20_block_04_ffn_down,2560,0.99829471,0.020015,0.004810,0.006000,0.058478,YES,PASS
TEST-A,ckpt20_block_05_ffn_down,2560,0.99812189,0.021079,0.004838,0.006125,0.061268,YES,PASS
TEST-A,ckpt20_block_12_ffn_down,2560,0.99747441,0.021800,0.004895,0.006148,0.071028,YES,PASS
TEST-A,ckpt20_block_23_ffn_down,2560,0.99539974,0.016532,0.003711,0.004613,0.095814,YES,PASS
TEST-A,ckpt21_block_00_ffn_residual,2560,0.99920902,0.128224,0.033423,0.041623,0.039832,YES,PASS
TEST-A,ckpt21_block_01_ffn_residual,2560,0.99855838,0.194755,0.046960,0.058886,0.053901,YES,PASS
TEST-A,ckpt21_block_02_ffn_residual,2560,0.99859793,0.203352,0.048669,0.060700,0.053213,YES,PASS
TEST-A,ckpt21_block_03_ffn_residual,2560,0.99816438,0.238282,0.058636,0.073240,0.061192,YES,PASS
TEST-A,ckpt21_block_04_ffn_residual,2560,0.99764918,0.320363,0.070050,0.087468,0.069608,YES,PASS
TEST-A,ckpt21_block_05_ffn_residual,2560,0.99780353,0.306606,0.070966,0.088296,0.067414,YES,PASS
TEST-A,ckpt21_block_06_ffn_residual,2560,0.99721851,0.341878,0.084218,0.105036,0.076736,YES,PASS
TEST-A,ckpt21_block_07_ffn_residual,2560,0.99688477,0.383936,0.093682,0.117393,0.081679,YES,PASS
TEST-A,ckpt21_block_08_ffn_residual,2560,0.99707110,0.391252,0.094534,0.118441,0.079273,YES,PASS
TEST-A,ckpt21_block_09_ffn_residual,2560,0.99680395,0.502669,0.104225,0.130465,0.083580,YES,PASS
TEST-A,ckpt21_block_10_ffn_residual,2560,0.99668420,0.471502,0.111780,0.138935,0.085504,YES,PASS
TEST-A,ckpt21_block_11_ffn_residual,2560,0.99686036,0.486995,0.112237,0.139881,0.083463,YES,PASS
TEST-A,ckpt21_block_12_ffn_residual,2560,0.99667791,0.512588,0.120470,0.149997,0.086466,YES,PASS
TEST-A,ckpt21_block_13_ffn_residual,2560,0.99667577,0.528754,0.125274,0.156472,0.087246,YES,PASS
TEST-A,ckpt21_block_14_ffn_residual,2560,0.99683362,0.534163,0.125907,0.157212,0.085287,YES,PASS
TEST-A,ckpt21_block_15_ffn_residual,2560,0.99683200,0.575484,0.131504,0.163603,0.085809,YES,PASS
TEST-A,ckpt21_block_16_ffn_residual,2560,0.99673010,0.649277,0.137712,0.171956,0.087460,YES,PASS
TEST-A,ckpt21_block_17_ffn_residual,2560,0.99687411,0.640493,0.138566,0.172781,0.085532,YES,PASS
TEST-A,ckpt21_block_18_ffn_residual,2560,0.99683938,0.684544,0.142929,0.179133,0.086567,YES,PASS
